Rank,Track_id,Streams,Track Name,Artist_id
160.0,6wo37KVqFJhtuxPTpLCcfe,164486107,Takeaway (feat. Lennon Stella),69GGBxA162lTqCwzJG5jLp
161.0,2TIlqbIneP0ZY1O0EzYLlc,161849904,Someone You Loved,4GNC7GD6oZMSxPGyXy4MNB
162.0,6nDKrPlXdpomGBgAlO7UdP,160799615,SOS,1vCWHaC5f2uS3yhpwWbIA6
163.0,6IRdLKIyS4p7XNiP8r6rsx,159097280,all the good girls go to hell,6qqNVTkY8uBg9cP3Jd7DAH
164.0,4n7jnSxVLd8QioibtTDBDq,158069872,On My Way,7vk5e3vY1uw9plTHJAMwjN
165.0,6CcJMwBtXByIz4zQLzFkKc,157184058,i love you,6qqNVTkY8uBg9cP3Jd7DAH
166.0,1000nHvUdawXuUHgBod4Wv,156980146,Panini,7jVv8c5Fj3E9VhNjxT4snq
167.0,5IaHrVsrferBYDm0bDyABy,156513581,Taste (feat. Offset),5LHRHt1k9lMyONurDHEdrp
168.0,2G1tXoGBaEMJ7FKGnkf6ud,156117240,Wake Up in the Sky,13y7CgLHjMVRMDqxdx0Xdo
169.0,29fRTIKsJhLUJoldM89GZS,155478693,You Need To Calm Down,06HL4z0CvFAxyc27GXpf02
170.0,6uFn47ACjqYkc0jADwEdj1,154971084,Pop Out (feat. Lil Tjay),6AgTAQt8XS6jRWi4sX7w49
171.0,0bYg9bo50gSsH3LtXe2SQn,154471340,All I Want for Christmas Is You,4iHNK0tOyZPYnBU7nGAgpQ
172.0,2qT1uLXPVPzGgFOx4jtEuo,154319901,no tears left to cry,66CXWjxzNUsdJxJ2JdwvnR
173.0,1dGr1c8CrMLDpV6mPbImSI,153857907,Lover,06HL4z0CvFAxyc27GXpf02
174.0,7CZyCXKG6d5ALeq41sLzbw,153232549,Take What You Want (feat. Ozzy Osbourne & Travis Scott),246dkjvS1zLTtiykXe5h60
175.0,7fODjB7BrQTGqh0hogW6XD,152569208,Que Mas Pues - Remix,77ziqFxp5gaInVrF2lj4ht
176.0,3s4mrPrEFFPF0LmAfutW0n,152519092,The London (feat. J. Cole & Travis Scott),50co4Is1HCEo8bhOyUWKpn
177.0,6RUKPb4LETWmmr3iAEQktW,152252829,Something Just Like This,69GGBxA162lTqCwzJG5jLp
178.0,1LIqNVhaIgxXUt2eVoIQJ3,152023549,HP,1r4hJ1h58CWwUQe3MxPuau
179.0,3XF5xLJHOQQRbWya6hBp7d,148910211,you should see me in a crown,6qqNVTkY8uBg9cP3Jd7DAH
180.0,322tcqPhma7F6hfCeLisx0,146033660,"fuck, i'm lonely (with Anne-Marie) - from “13 Reasons Why: Season 3”",5JZ7CnR6gTvEMKX4g70Amv
181.0,6kls8cSlUyHW2BUOkDJIZE,145347250,Hate Me (with Juice WRLD),0X2BH1fck6amBIoJhDVmmJ
182.0,6V9fHiv84WlVTg7CSnIVY2,145167518,Graveyard,26VFTg2z8YR0cCuwLzESi2
183.0,7k4t7uLgtOxPwTpFmtJNTY,145149036,Tusa,790FomKkXshlbRYZFtlgla
184.0,3oh6SCCeLuXhFpEyepla6G,144487661,Thotiana,3Fl1V19tmjt57oBdxXKAjJ
185.0,6MJUCumnQsQEKbCy28tbCP,144255522,Adictiva,4VMYDCV2IEDYJArk749S6m
186.0,76cy1WJvNGJTj78UqeA5zr,143425447,IDGAF,6M2wZ9GZgrQXHCFfjv46we
187.0,79esEXlqqmq0GPz0xQSZTV,143302577,Lost In Japan,7n2wHs1TKAczGzO7Dd2rGr
188.0,2rPE9A1vEgShuZxxzR2tZH,142941148,"thank u, next",66CXWjxzNUsdJxJ2JdwvnR
189.0,1lOe9qE0vR9zwWQAOk6CoO,142421652,Ransom,4Ga1P7PMIsmqEZqhYZQgDo
190.0,6mAN61JH0dzyZpWslS11jy,142361657,Fantasias,1mcTU81TzQhprhouKaTkpq
191.0,31UjYv5vLsDkzchJOtUMtW,142147199,HP,1r4hJ1h58CWwUQe3MxPuau
192.0,3a1lNhkSLSkpJE4MSHpDu9,142006864,Congratulations,246dkjvS1zLTtiykXe5h60
193.0,2G7V7zsVDxg1yRsu7Ew9RJ,140455238,In My Feelings,3TVXtAsR1Inumwj472S9r4
194.0,0PG9fbaaHFHfre2gUVo7AN,140443870,Please Me,4kYSro6naA4h99UJvo89HB
195.0,7tFiyTwD0nx5a1eklYtX2J,140396723,Bohemian Rhapsody - 2011 Mix,1dfeR4HaWDbWqFHLkxsg1d
196.0,1kK6DwzyXJSp58u5HYWwuD,140127272,"Go Loko (feat. Tyga, Jon Z)",0A0FS04o6zMoto8OKPsDwY
